Gender,Domicile,DegreeTitle,MatricMarks,MatricMaxMarks,MetricBoardName,InterDegreeTitle,InterMarks,InterMaxMarks,InterSubjects,InterBoard,NtsMarks,Session,Year,hum100,csc101,mth100,mth101,phy121,hum110,hum114,csc102,eee241,csc110,mth104,csc211,csc103,csc241,hum102,mth105,hum103,bio231,hum111,eee121,cse291,mth231,mgt101,csc322,mth262,cse304,csc339,cse305,cse303,csc371,csc291,csc336,csc301,csc462,csc141,bio130,bio111,bio132,mth242,phy120,csc356,cse302,cse494,cse333,csc461,cse350,csc303,cse356,csc475,cse455,cse498,csc412,csc441,eee440,csc350,csc321,csc454,csc483,csc498,csc312,csc354,csc496,mgt403,bio310,cse354,cse499,hum430,hum220,cse483,env230,hum434,csc402,csc499,mgt131,csc455,phy100,phy229,csc471,csc112,csc221,mgt350,eee231,csc494,csc444,hum320,csc478,cse299,csc479,csc448,csc271,mth467,cse355,csc456,csc253,mth375,bsc208,csc201,csc330,csc445,csc447,csc314,csc392,csc443,csc332,csc536,csc304,csc581,csc348,csc571,hum431,csc328,hum432,csc334,csc353,cse330,csd201,csd205,csd204,eee119,csd203,csd200,csd102,csd100,csd101,csd202,gpa_sem_1,gpa_sem_2,gpa_sem_3,gpa_sem_4,gpa_sem_5,gpa_sem_6,gpa_sem_7,gpa_sem_8,gpa_sem_9,gpa_sem_10,gpa_sem_11,gpa_sem_12,newRegNo,Program,LG,CGPA,null_row_count,real_merit,session_ordered,dropout,board_clean,reduced_boards,matric%,inter%,inter_sbuject_clean,boards_cat,inter_sbuject_cat,Gender_cat,Program_cat,gpa_sem_1_cat
Male,AJK,Matric,999,1100,"FBISE, Islamabad","ICS (Math, Physics, Computer)",942,1100,Computer Science,"fbise, islamabad",78,SP22,2022,2.15,2.15,,,2.15,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,,,,,,,,,,,,ciit/sp22-bse-777/isb,bse,,2.15,134,82.33636364,16,,fbise,federal board,0.908181818,0.856363636,cs,30,0,1,0,1
Male,Punjab,Matric,817,1100,"FBISE, Islamabad",FSC,0,1100,Pre Engineering,"bise, rawalpindi",52,SP22,2021,3.13,3.13,,,3.13,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,,,,,,,,,,,,ciit/sp22-bse-2550/isb,bse,,3.13,136,33.42727273,16,,bise rawalpindi,punjab boards,0.742727273,0,preeng,27,2,1,0,4
Male,Punjab,Matric,1080,1100,"BISE, Multan",FSC,1085,1100,Pre Medical,"bise, multan",72,SP22,2022,2.82,2.82,2.82,2.82,2.82,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82,,,,,,,,,,,,ciit/sp22-bse-893/isb,bse,,2.82,136,85.27272727,16,,bise multan,punjab boards,0.981818182,0.986363636,premed,26,3,1,0,3
Male,Punjab,Matric,972,1100,"BISE, Bahawalpur",FSC,905,1100,Pre Medical,"bise, bahawalpur",0,SP22,2021,2.84,2.84,,,2.84,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,,,,,,,,,,,,ciit/sp22-bse-1993/isb,bse,,2.84,134,41.74545455,16,,bise bahawalpur,punjab boards,0.883636364,0.822727273,premed,21,3,1,0,3
Male,Punjab,Matric,954,1100,"BISE, DG Khan","ICS (Math, Physics, Computer)",0,1100,Computer Science,"bise, dg khan",72,SP22,2021,2.31,2.31,,,2.31,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,,,,,,,,,,,,ciit/sp22-bse-3267/isb,bse,,2.31,136,44.67272727,16,,bise dg khan,kpk boards,0.867272727,0,cs,10,0,1,0,1
Male,Sindh,Matric,733,1100,"FBISE, Islamabad",FSC,893,1100,Pre Medical,"fbise, islamabad",88,SP22,2022,2.69,2.69,2.69,2.69,2.69,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,,,,,,,,,,,,ciit/sp22-bse-3021/isb,bse,,2.69,136,83.13636364,16,,fbise,federal board,0.666363636,0.811818182,premed,30,3,1,0,2
Male,AJK,Matric,1009,1100,"BISE, Rawalpindi",FSC,0,1100,Pre Engineering,"bise, rawalpindi",67,SP22,2021,3.25,3.25,,,3.25,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,ciit/sp22-bse-1665/isb,bse,,3.25,136,42.67272727,16,,bise rawalpindi,punjab boards,0.917272727,0,preeng,27,2,1,0,4
Male,Punjab,Matric,1000,1100,"FBISE, Islamabad",FSC,981,1100,Pre Engineering,"fbise, islamabad",76,SP22,2022,3.25,3.25,,,3.25,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,ciit/sp22-bse-3540/isb,bse,,3.25,136,82.76363636,16,,fbise,federal board,0.909090909,0.891818182,preeng,30,2,1,0,4
Male,Islamabad Capital Territory,Matric,981,1050,"FBISE, Islamabad",FSC,931,1100,Pre Engineering,"fbise, islamabad",82,SP22,2022,3.49,3.49,,,3.49,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,,,,,,,,,,,,ciit/sp22-bse-1282/isb,bse,,3.49,136,84.1974026,16,,fbise,federal board,0.934285714,0.846363636,preeng,30,2,1,0,5
Male,Punjab,Matric,1008,1100,"BISE, Rawalpindi",FSC,0,1100,Pre Engineering,"bise, rawalpindi",50,SP22,2021,3.18,3.18,,,3.18,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18,,,,,,,,,,,,ciit/sp22-bse-2741/isb,bse,,3.18,136,34.16363636,16,,bise rawalpindi,punjab boards,0.916363636,0,preeng,27,2,1,0,4
